approved,hgnc_symbol,drugs_gained,moas_gained,confidence,sample_tokens,sample_drugs,sample_moas,top_broad_cancers,notes
,TPO,5,2,1.0,thyroid peroxidase; tpo,hetrombopag; methimazole; recombinant human thrombopoietin; romiplostim; sb497115,thyroidperoxidase_inhibitor; tpo_agonist,Hematological Malignancies; Solid Tumors; Lung Cancers; Breast Cancer; Brain and Other Nervous System,
,USP1,5,2,1.0,usp1; usp1 deubiquitinase,asn-3186; hsk39775; ro7623066; tqb3217; xl309,usp1_inhibitor; usp1deubiquitinase_inhibitor,Solid tumors; Ampullary Adenocarcinoma; Adrenal Cancer and Neuroendocrine Tumors; Anal Cancer; Appendix Cancer,
,TNFSF11,5,1,1.0,rankl,denosumab biosimilar; denosumab；shr-2017; jmt103; narlumosbart; narlumosbartmab,rankl_inhibitor,Bone and Joint Cancers; Lung Cancers; Solid Tumors; Hematological Malignancies,
,CD24,4,4,1.0,cd24; cd24 macrophage checkpoint,atg-031; kh801; onc-783; phst001,cd24_cd3bispecific_antibody; cd24_siglec10_blocker; cd24_siglec10interaction_blocker; cd24macrophagecheckpoint_inhibitor,Solid tumors,
,CD27,4,4,1.0,cd27; cd27 agonistic; cd27 monoclonal,boserolimab; cdx-1127; cdx-527; varlilumab,cd27_agonist; cd27_pdcd1_modulator; cd27agonistic_tcellcostimulatory_antibody; cd27monoclonal_antibody,Hematological Malignancies; Liver and Bile Duct Cancers; Lung Cancers; Solid Tumors; Brain and Other Nervous System,
,CDK1,4,4,1.0,cdk1,at7519; bey1107; dinaciclib; riviciclib,cdk1_cdk2_cdk4_cdk5_cdk6_cdk9_inhibitor; cdk1_cdk2_cdk5_cdk9_inhibitor; cdk1_cdk4_cdk9_inhibitor; cdk1_inhibitor,Hematological Malignancies; Breast Cancer; Skin Cancers; Pancreatic Cancer; Solid tumors,
,CNR1,4,4,1.0,cb1; cb1 agonist; to cb1,cannabis extract oil; nabilone; nabiximols; pac-cb,cb1_cb2cannabinoid_agonist; cb1_cb2partial_agonist; cb1agonist_modulator; cb2_tocb1_binder,Brain and Other Nervous System; Soft Tissue Cancers (including Heart); Breast Cancer; Kidney (Renal) and Urethral Cancers; Lung Cancers,
,HRH2,4,4,1.0,h2; histamine h2; histamine h2-receptor,cimetidine; famotidine; h2 receptor antagonist; z-208,h2_antagonist; histamineh2_antagonist; histamineh2_blocker; histamineh2receptor_inhibitor,Breast Cancer; Lung Cancers; Gynecological Cancers; Soft Tissue Cancers (including Heart); Skin Cancers,
,LILRB2,4,4,1.0,ilt3; lilrb2,es009; io-108; mk-0482; spx-303,ilt3_antagonist; lilrb2_antagonist; lilrb2_inhibitor; lilrb2_pdl1bispecific_antibody,Lung Cancers; Solid tumors; Hematological Malignancies; Liver and Bile Duct Cancers,
,PDCD1LG2,4,4,1.0,pd-l2; pd-l2 protein-protein interaction,amp-224; ca-170; imgs-001; pd-l2 peptide,pd1_pdl2proteinproteininteraction_modulator; pd_l2_fusion_protein; pdl1_pdl2_antagonist; pdl1_pdl2_vista_antagonist,Colorectal Cancer; Hematological Malignancies; Solid tumors; Ampullary Adenocarcinoma; Adrenal Cancer and Neuroendocrine Tumors,
,TGFB1,4,4,1.0,latent tgf-β1 activation; tgf-beta 1; tgf-β1,avid200; bms-986416; ro7496353; yl-13027,3_tgfbeta1_inhibitor; alk5_tgf1_inhibitor; latenttgf1activation_inhibitor; tgfbeta1_tgfbeta3_blocker,Hematological Malignancies; Pancreatic Cancer; Lung Cancers; Gastric (Stomach) Cancer; Solid tumors,
,TGFBR2,4,4,1.0,tgf-beta rii; tgfbr2; tgfβr2,anti-tgf-beta rii monoclonal antibody imc-tr1; fmpv-1; hb002.1t; inca33890,pd1_tgfr2_inhibitor; tgfbetarii_antagonist; tgfbr2_frameshiftmutation_activator; tgfbr2_vegfr2_inhibitor,Solid tumors; Colorectal Cancer,
,TNFRSF10B,4,4,1.0,death 5; dr5,dulanermin; oba01; pro95780; ro6874813,death5_agonist; dr4_dr5_agonist; dr5_fap_binder; dr5_tubulin_inhibitor,Colorectal Cancer; Hematological Malignancies; Lung Cancers,
,ACVR1,4,3,0.9,acvr1; alk2,gecacitinib; gecacitinib hydrochloride tablets；pegylated interferon alfa-2b; jaktinib; tp-0184,acvr1_alk2_flt3_jak2_inhibitor; acvr1_jak2_tyk2_inhibitor; acvr1_jak_inhibitor,Hematological Malignancies; Solid tumors; Gynecological Cancers; Liver and Bile Duct Cancers,
,CCR5,4,3,1.0,ccr5; ccr5 noncompetitive,[14c] bms-813160; leronlimab; maraviroc; vicriviroc,ccr2_ccr5_antagonist; ccr5_antagonist; ccr5noncompetitive_antagonist,Hematological Malignancies; Colorectal Cancer; Solid tumors; Soft Tissue Cancers (including Heart); Skin Cancers,
,EIF2AK4,4,3,0.9,gcn2,apl-4098; dcc-2812; hc-7366; nxp800,gcn2_activator; gcn2_hsf1_activator; gcn2_inhibitor,Hematological Malignancies; Gynecological Cancers; Bladder Cancer; Kidney (Renal) and Urethral Cancers; Prostate Cancer,
,GPA33,4,3,1.0,a33 antigen; gpa33,131i-hua33; iodine-124 labeled humanized a33; krn330; mgd007,a33antigen_targeted; gpa33_inhibitor; gpa33_targeted,Colorectal Cancer,
,HIF1A,4,3,1.0,hif-1alpha; hif-1α,crlx101; do-2; ep0057; m2es,dnatopoisomerase1_hif1_inhibitor; hif1_topoi_inhibitor; hif1alpha_inhibitor,Gastric (Stomach) Cancer; Lung Cancers; Esophageal Cancer; Kidney (Renal) and Urethral Cancers; Gynecological Cancers,
,MAGEA1,4,3,1.0,magea1,autologous anti-mage-a1 tcr-engineered t cells tsc-204-c0702; cyt004-melqbg10; tsc-204-a0201; vx-006,her2_magea1_tert_inhibitor; magea1_modulator; magea1_targeted,Skin Cancers; Gynecological Cancers; Head and Neck Cancers; Solid tumors; Lung Cancers,
,PPARG,4,3,0.97,ppar gamma; pparg inverse agonist; pparγ partial,fx-909; mbf-118; pioglitazone; rosiglitazone,ppargamma_agonist; pparginverseagonist_inhibitor; pparpartial_agonist,Specific Syndromes; Hematological Malignancies; Prostate Cancer; Brain and Other Nervous System; Thyroid Cancer,
,CD46,4,2,1.0,cd46,89zr-dfo-ys5; fg-3246; ys5 antibody; zirconium zr 89-dfo-ys5,cd46_antibody; cd46_targeted,Prostate Cancer,
,ICOS,4,2,1.0,icos; icos antagonist monoclonal,gsk3359609; jtx-2011; medi-570; vopratelimab,icos_agonist; icosantagonistmonoclonal_antibody,Hematological Malignancies; Ampullary Adenocarcinoma; Adrenal Cancer and Neuroendocrine Tumors; Anal Cancer; Appendix Cancer,
,TLR4,4,2,1.0,tlr4,cjrb-101; gla-se; gsk1795091; om-174,tlr2_tlr4_agonist; tlr4_agonist,Skin Cancers; Head and Neck Cancers; Lung Cancers; Ampullary Adenocarcinoma; Adrenal Cancer and Neuroendocrine Tumors,
,ACHE,4,1,0.9,acetylcholinesterase,donepezil; inm176; neostigmine; pyridostigmine,acetylcholinesterase_inhibitor,Bladder Cancer; Breast Cancer; Brain and Other Nervous System; Gynecological Cancers; Prostate Cancer,
,DGKZ,4,1,1.0,dgkζ,asp1570; bay2862789; bay2965501; incb177054,dgk_inhibitor,Solid tumors,
,EPAS1,4,1,1.0,hif-2α,casdatifan; hs-10516; mk-3795; zifcasiran,hif2_inhibitor,Bladder Cancer; Solid tumors; Kidney (Renal) and Urethral Cancers; Adrenal Cancer and Neuroendocrine Tumors,
,KLRD1,4,1,1.0,nkg2a,hy-0102; s095029; s095029 rde; s95029,nkg2a_antagonist,Solid tumors; Lung Cancers; Pancreatic Cancer; Esophageal Cancer; Gastric (Stomach) Cancer,
,AFP,3,3,1.0,afp,afp gene vaccine; afp specific t cell receptor t cells; taest1901,afp_activator; afp_inhibitor; afp_targeted,Solid tumors; Hematological Malignancies,
,BIRC2,3,3,1.0,ciap1,birinapant; lcl161; tolinapant,birc3_antagonist; ciap1_ciap2_iapxiap_inhibitor; ciap1_ciap2_xiap_antagonist,Hematological Malignancies; Skin Cancers; Head and Neck Cancers; Gynecological Cancers; Bladder Cancer,
,BTLA,3,3,1.0,btla; btla antagonist monoclonal,btla inhibitor; hfb200603; js004（btla monoclonal antibody，intravenously）,btla_antagonist; btla_inhibitor; btlaantagonistmonoclonal_antibody,Esophageal Cancer; Kidney (Renal) and Urethral Cancers; Skin Cancers; Lung Cancers; Gastric (Stomach) Cancer,
,CCKBR,3,3,1.0,cck-b; cck2; cholecystokinin cckb,ci-8993; netazepide; z-360,cck2_gastrin_antagonist; cckb_antagonist; cholecystokinincckb_antagonist,Pancreatic Cancer; Adrenal Cancer and Neuroendocrine Tumors; Solid tumors,
,CD248,3,3,1.0,endosialin activity; endosialin monoclonal; inhibits endosialin,morab-004; morab-004 (ontuxizumab); ontuxizumab,endosialinactivity_inhibitor; endosialinmonoclonal_antibody; inhibitsendosialin_tem1activity_binder,Solid tumors; Soft Tissue Cancers (including Heart); Skin Cancers,
,CD80,3,3,1.0,cd80,alvac-hb7.1; gi-102; gic-102,cd80_ctla4_il2_blocker; cd80_il2v3_immunocytokine; cd80_modulator,Hematological Malignancies; Gynecological Cancers; Skin Cancers; Solid tumors,
,CNR2,3,3,1.0,cb2; cb2 cannabinoid; cb2 partial,cannabis extract oil; nabilone; nabiximols,cb1_cb2cannabinoid_agonist; cb1_cb2partial_agonist; cb2_tocb1_binder,Brain and Other Nervous System; Ampullary Adenocarcinoma; Adrenal Cancer and Neuroendocrine Tumors; Anal Cancer; Appendix Cancer,
,CYP11B1,3,3,1.0,11β-hydroxylase; cyp11b1,123i-iodometomidate; metyrapone; osilodrostat,11hydroxylase_inhibitor; cyp11b1_cyp11b2_inhibitor; cyp11b1_inhibitor,Adrenal Cancer and Neuroendocrine Tumors; Specific Syndromes,
,DKK1,3,3,1.0,dkk1; dkk1 neutralizing; dkk1 neutralizing monoclonal,bhq880; js015; sirexatamab,dkk1_inhibitor; dkk1neutralizing_antibody; dkk1neutralizingmonoclonal_antibody,Hematological Malignancies; Bone and Joint Cancers,
,GDF15,3,3,1.0,gdf15; growth differentiation factor 15,av-380; gfs202a; ngm120,gdf15_il6bispecific_antibody; gdf15_inhibitor; growthdifferentiationfactor15_inhibitor,Colorectal Cancer; Prostate Cancer; Skin Cancers; Pancreatic Cancer; Bladder Cancer,
,GUCY2C,3,3,0.95,gc-c; guanylate cyclase-c,dolcanatide; gallium ga 68-labeled mln6907; linaclotide,gcc_agonist; gcc_antagonist; guanylatecyclasec_agonist,Colorectal Cancer; Esophageal Cancer; Hematological Malignancies,
,HPSE,3,3,1.0,heparanase,pi-88; pixatimod; roneparstat,blocksangiogenesis_heparanase_inhibitor; heparanase_inhibitor; heparanase_tlr9_inhibitor,Skin Cancers; Lung Cancers; Colorectal Cancer; Liver and Bile Duct Cancers; Prostate Cancer,
,IFNG,3,3,0.97,ifnγ; ifnγ monoclonal; γ cytokine,[89zr]zr-dfo-emapalumab; emapalumab; ltc004,cytokine_il2r_agonist; ifn_inhibitor; ifnmonoclonal_antibody,Hematological Malignancies; Specific Syndromes; Pancreatic Cancer; Solid tumors; Colorectal Cancer,
,IKZF3,3,3,0.95,aiolos; ikzf3,icp-490; sp-3164; zelebrudomide,aiolos_ikaros_molecularglue_degrader; btk_ikzf1_ikzf3_degrader; ikzf1_ikzf3_degrader,Hematological Malignancies,
,IL2RA,3,3,1.0,il-2 alpha subunit cd25; il-2rα-biased; il2ra,"chop, daclizumab; gi-108; il-2a-bias）",cd73_il2ra_inhibitor; il2alphasubunitcd25_blocker; il2rbiased_agonist,Solid tumors; Lung Cancers; Head and Neck Cancers; Pancreatic Cancer; Kidney (Renal) and Urethral Cancers,
,MAPK14,3,3,1.0,p38 map; p38 mapk; p38 mitogen-activated,ly3007113; pexmetinib; talmapimod,p38map_inhibitor; p38mapk_tie2_inhibitor; p38mitogenactivated_inhibitor,Ampullary Adenocarcinoma; Adrenal Cancer and Neuroendocrine Tumors; Anal Cancer; Appendix Cancer; Bladder Cancer,
,NGF,3,3,1.0,ngf; ngfb,leteprinim; ngfr-transduced autologous t lymphocytes; tanezumab,ngf_inhibitor; ngf_targeted; ngfb_modulator,Brain and Other Nervous System; Solid Tumors; Bone and Joint Cancers; Hematological Malignancies,
,OPRM1,3,3,1.0,mop; partial mu-opioid; peripherally acting mu-opioid,alvimopan; buprenorphine; cebranopadol,mop_nop_agonist; partialmuopioid_agonist; peripherallyactingmuopioid_antagonist,Colorectal Cancer; Gynecological Cancers; Bladder Cancer; Head and Neck Cancers; Ampullary Adenocarcinoma,
,PMEL,3,3,1.0,gp100,ad100-gp96ig-hla a1; dyp688; gp100-fowlpox vaccine,11_gnaq_gp100_inhibitor; gp100_activator; gp100_antigen_presentation_to_t_cells,Skin Cancers; Lung Cancers,
,SEMA4D,3,3,1.0,sema4d blocking; sema4d interaction with its; semaphorin 4d monoclonal,2503; pepinemab; vx15,sema4dblocking_antibody; sema4dinteractionwithits_blocker; semaphorin4dmonoclonal_antibody,Pancreatic Cancer; Colorectal Cancer; Skin Cancers; Liver and Bile Duct Cancers; Head and Neck Cancers,
,SLAMF7,3,3,1.0,slamf7,autologous anti-slamf7 car-expressing t cells; elotuzumab; ws-cart-cs1,slamf7_inhibitor; slamf7_modulator; slamf7_targeted,Hematological Malignancies,
,TACR3,3,3,1.0,neurokinin-3; nk3; nk3r,azd4901; bay3427080; fezolinetant,neurokinin3_antagonist; nk1r_nk3r_antagonist; nk3_antagonist,Prostate Cancer; Breast Cancer; Specific Syndromes,
,TGFBR1,3,3,0.93,alk5; tgf-βri; tgfβr1,gfh018; ly3200882; yl-13027,alk5_tgf1_inhibitor; tgfr1_inhibitor; tgfri_inhibitor,Solid tumors; Lung Cancers; Pancreatic Cancer,
,TNFRSF10A,3,3,0.95,dr4; trail-r1,dulanermin; gen1057; mapatumumab,dr4_agonist; dr4_dr5_agonist; trailr1_agonist,Solid tumors; Colorectal Cancer; Liver and Bile Duct Cancers; Lung Cancers; Hematological Malignancies,
,TNFRSF1B,3,3,0.9,tnfr2,bitr2101; hfb200301; nbl-020,tnfr2_agonist; tnfr2_antagonist; tnfr2_antibody,Gastric (Stomach) Cancer; Kidney (Renal) and Urethral Cancers; Skin Cancers; Gynecological Cancers; Lung Cancers,
,VSIR,3,3,1.0,vista; vista neutralizing,ca-170; hmbd-002; pmc-309,pdl1_pdl2_vista_antagonist; vista_inhibitor; vistaneutralizing_antibody,Solid tumors; Breast Cancer; Lung Cancers; Hematological Malignancies; Ampullary Adenocarcinoma,
,CDK19,3,2,1.0,cdk19,bcd-115; rvu120; tsn084,cdk19_cdk8_cmet_flt3_trk_inhibitor; cdk19_cdk8_inhibitor,Hematological Malignancies; Breast Cancer; Solid tumors; Ampullary Adenocarcinoma; Adrenal Cancer and Neuroendocrine Tumors,
,CDK8,3,2,1.0,cdk8,bcd-115; rvu120; tsn084,cdk19_cdk8_cmet_flt3_trk_inhibitor; cdk19_cdk8_inhibitor,Hematological Malignancies; Breast Cancer; Solid tumors; Ampullary Adenocarcinoma; Adrenal Cancer and Neuroendocrine Tumors,
,CXCR1,3,2,1.0,cxcr1,ladarixin; reparixin; sx-682,cxcr1_cxcr2_inhibitor; cxcr1_cxcr2chemokine_inhibitor,Colorectal Cancer; Lung Cancers; Hematological Malignancies; Pancreatic Cancer; Skin Cancers,
,FLT1,3,2,1.0,vegfr 1; vegfr-1; vegfr-1 mrna expression,agn211745; fufuquitinib; furuitinib,2_3_vegfr1_inhibitor; vegfr1mrnaexpression_inhibitor,Colorectal Cancer; Ocular Cancers,
,IL1RAP,3,2,1.0,il1rap,ak135; gene modified anti-il1rap car t; gene modified anti-il1rap chimeric antigen receptor t cells,il1rap_inhibitor; il1rap_targeted,Liver and Bile Duct Cancers; Solid Tumors,
,PKMYT1,3,2,1.0,pkmyt1,acr-2316; lunresertib; qls1209,pkmyt1_inhibitor; pkmyt1_wee1_inhibitor,Solid tumors,
,PRKCB,3,2,0.9,pkc beta; pkc-beta; pkc-beta isoform,enzastaurin; ly317615; ms-553,pkcbeta_inhibitor; pkcbetaisoform_inhibitor,Hematological Malignancies; Brain and Other Nervous System; Lung Cancers; Gynecological Cancers; Colorectal Cancer,
,PTPRC,3,2,1.0,cd45; cd45 expressing hematopoietic cells,astatine at 211 anti-cd45 monoclonal antibody bc8-b10; cd45be-hspc; indium in 111 anti-cd45 monoclonal antibody bc8,cd45_targeted; cd45expressinghematopoieticcells_targeted,Hematological Malignancies,
,ROCK2,3,2,1.0,rock2,belumosudil; tq05105; zd9393,jak1_jak2_rock1_rock2_inhibitor; rock2_inhibitor,Hematological Malignancies; Breast Cancer,
,SLC6A4,3,2,1.0,serotonin reuptake,citalopram; desipramine; fluvoxamine,norepinephrine_serotoninreuptake_inhibitor; serotoninreuptake_inhibitor,Breast Cancer; Ampullary Adenocarcinoma; Adrenal Cancer and Neuroendocrine Tumors; Anal Cancer; Appendix Cancer,
,TNKS,3,2,1.0,tankyrase 1,2x-121; rk-582; stp1002,2_2tnks1_tankyrase1_inhibitor; 2_parp1_parp2_tankyrase1_inhibitor,Solid tumors; Colorectal Cancer; Hematological Malignancies; Gynecological Cancers,
,TSLP,3,2,1.0,tslp,cm326; cm512; tezepelumab,il13bispecific_tslp_antibody; tslp_inhibitor,Colorectal Cancer,
,VCP,3,2,1.0,p97; vcp; vcp atpase activity,cb-5339; nsc 683472; vecp,p97_vcp_inhibitor; vcpatpaseactivity_inhibitor,Skin Cancers; Hematological Malignancies,
,AVPR2,3,1,1.0,vasopressin v2,desmopressin; fedovapagon; v932,vasopressinv2_agonist,Brain and Other Nervous System; Breast Cancer; Colorectal Cancer; Specific Syndromes; Ampullary Adenocarcinoma,
,CYP11A1,3,1,1.0,cyp11a1,ace-232; inv-9956; odm-209,cyp11a1_inhibitor,Prostate Cancer; Breast Cancer,
,ENPP1,3,1,1.0,enpp1,ism5939; rbs2418; txn10128,enpp1_inhibitor,Colorectal Cancer; Liver and Bile Duct Cancers; Solid tumors; Ampullary Adenocarcinoma; Adrenal Cancer and Neuroendocrine Tumors,
,HDAC6,3,1,1.0,hdac6; histone deacetylase 6,acy-1215; citarinostat; ka2507,hdac6_inhibitor,Hematological Malignancies; Breast Cancer; Solid tumors,
,IL17A,3,1,1.0,il-17a,cjm112; secukinumab; vunakizumab,il17a_inhibitor,Lung Cancers; Specific Syndromes; Skin Cancers; Breast Cancer; Hematological Malignancies,
,IL5,3,1,1.0,il-5,benralizumab; mepolizumab; reslizumab,il5_antagonist,Hematological Malignancies; Solid tumors; Specific Syndromes; Colorectal Cancer,
,INSR,3,1,1.0,ir,bms-754807; kw-2450; linsitinib,igf1r_ir_inhibitor,Solid tumors; Prostate Cancer; Bone and Joint Cancers; Soft Tissue Cancers (including Heart); Hematological Malignancies,
,LGALS3,3,1,1.0,galectin-3,belapectin; gcs-100; selvigaltin,galectin3_inhibitor,Hematological Malignancies,
,ODC1,3,1,1.0,ornithine decarboxylase,difluoromethylornithine; eflornithine; eflornithine hydrochloride,ornithinedecarboxylase_inhibitor,Brain and Other Nervous System; Neuroblastoma; Bone and Joint Cancers; Skin Cancers; Colorectal Cancer,
,ADRB2,2,2,1.0,beta2; beta2-adrenergic,alintegimod; formoterol,alphal_beta1_beta2_integrinalpha4_activator; beta2adrenergic_agonist,Lung Cancers; Kidney (Renal) and Urethral Cancers; Liver and Bile Duct Cancers; Skin Cancers; Bladder Cancer,
,AURKA,2,2,1.0,aurka,jab-2485; xnw34017,aurka_inhibitor; aurka_myc_degrader,Breast Cancer; Solid tumors; Lung Cancers,
,BTN1A1,2,2,1.0,btn1a1; btn1a1 immune checkpoint,hstc810; nelmastobart,btn1a1_cd8tcellinteraction_blocker; btn1a1immunecheckpoint_inhibitor,Colorectal Cancer; Solid tumors; Lung Cancers,
,C5AR1,2,2,1.0,c5ar monoclonal; c5ar1 monoclonal,anti-c5ar1 monoclonal antibody tj210; avdoralimab,c5ar1monoclonal_antibody; c5armonoclonal_antibody,Solid tumors,
,CASR,2,2,1.0,casr,[14c] shr6508; mt1013,casr_modulator; casr_ogp_agonist,Thyroid Cancer,
,CBLB,2,2,1.0,cbl-b; cbl-b e3 ubiquitin ligase,hst-1011; nx-1607,cblb_inhibitor; cblbe3ubiquitinligase_inhibitor,Ampullary Adenocarcinoma; Adrenal Cancer and Neuroendocrine Tumors; Anal Cancer; Appendix Cancer; Bladder Cancer,
,CD23,2,2,1.0,cd23; cd23 monoclonal,idec-152; lumiliximab,cd23_antagonist; cd23monoclonal_antibody,Hematological Malignancies,
,CD74,2,2,1.0,cd74,milatuzumab; stro-001,cd74_antibody; cd74_binder,Hematological Malignancies,
,CD96,2,2,1.0,cd96 antigen; cd96 bispecific,agen1777; nelistotug,cd96antigen_inhibitor; cd96bispecific_tigit_antibody,Hematological Malignancies; Head and Neck Cancers; Lung Cancers,
,CDK5,2,2,1.0,cdk5,at7519; dinaciclib,cdk1_cdk2_cdk4_cdk5_cdk6_cdk9_inhibitor; cdk1_cdk2_cdk5_cdk9_inhibitor,Hematological Malignancies; Breast Cancer; Skin Cancers; Pancreatic Cancer; Solid tumors,
,CLPP,2,2,1.0,clpp,dordaviprone; onc206,clpp_activator; clpp_drd2antagonist_agonist,Brain and Other Nervous System; Colorectal Cancer; Bone and Joint Cancers; Ocular Cancers; Adrenal Cancer and Neuroendocrine Tumors,
,CSNK1A1,2,2,0.9,ck1α; ck1α molecular glue,btx-a51; glb-001,cdk7_cdk9_ck1_inhibitor; ck1molecularglue_degrader,Hematological Malignancies,
,CYP11B2,2,2,1.0,cyp11b2,123i-iodometomidate; lae001,cyp11b1_cyp11b2_inhibitor; cyp11b2_cyp17a1_inhibitor,Adrenal Cancer and Neuroendocrine Tumors; Prostate Cancer,
,DCK,2,2,1.0,dck,18f-clofarabine; tre-515,dck_inhibitor; measures_deoxycytidine_kinase_activity,Ampullary Adenocarcinoma; Anal Cancer; Appendix Cancer; Bladder Cancer; Colorectal Cancer,
,DLK1,2,2,1.0,dlk1 monoclonal; dlk1-directed antibody-drug conjugate; tubulin,cba-1205; roltotatug,dlk1directedantibodydrugconjugatetubulin_inhibitor; dlk1monoclonal_antibody,Solid tumors; Liver and Bile Duct Cancers; Skin Cancers; Pediatric Cancers,
,EDNRB,2,2,1.0,endothelin b,enb003; sovateltide,endothelinb_agonist; endothelinb_antagonist,,
,ELANE,2,2,1.0,elane; neutrophil elastase,n17350; sivelestat,elane_activator; neutrophilelastase_inhibitor,Skin Cancers; Esophageal Cancer; Solid tumors; Breast Cancer; Head and Neck Cancers,
,FCGR3A,2,2,1.0,cd16a bispecific,afm13; ro7297089,bcma_cd16abispecific_antibody; cd16abispecific_cd30_antibody,Hematological Malignancies,
,FLT4,2,2,1.0,vegfr3,evt801; telatinib,ckit_pdgfr_vegfr2_vegfr3_inhibitor; vegfr3_inhibitor,Gastric (Stomach) Cancer; Solid tumors; Liver and Bile Duct Cancers,
,GIP,2,2,1.0,gip,ly3537021; tirzepatide,gip_agonist; gip_glp1_agonist,Gynecological Cancers; Breast Cancer; Prostate Cancer; Hematological Malignancies; Colorectal Cancer,
,GZMB,2,2,1.0,granzyme b in tumors; granzyme b secreted by t cells,68ga-grazytracer; [68ga]ga-nota-g5,granzymebintumors_binder; granzymebsecretedbytcells_targeted,Ampullary Adenocarcinoma; Adrenal Cancer and Neuroendocrine Tumors; Anal Cancer; Appendix Cancer; Bladder Cancer,
,HMGB1,2,2,1.0,hmgb1,glycyrrhizin; sb17170,hmgb1_inhibitor; hmgb1_modulatessignalingpathways_inhibitor,Prostate Cancer,
,HSPA5,2,2,1.0,grp78,anti-grp78 monoclonal igm antibody pat-sm6; sodium trans-[tetrachlorobis(1h-indazole)ruthenate(iii)],grp78_binder; grp78_inhibitor,,
,HTR1A,2,2,0.95,5-ht1a; 5-ht1a partial,buspirone; sr57746a,5ht1a_agonist; 5ht1apartial_agonist,Colorectal Cancer; Solid tumors,
,HTR2A,2,2,1.0,5-ht2a,prg2505; vvz-149,5ht2a_agonist; 5ht2a_glyt2_antagonist,Solid tumors; Hematological Malignancies,
,IGF1,2,2,1.0,igf-1,teprotumumab; xentuzumab,igf1_igf2ligandneutralizing_antibody; igf1_inhibitor,Breast Cancer; Hematological Malignancies; Prostate Cancer; Lung Cancers,
,IL13,2,2,1.0,il-13 bispecific; il-13 cytokine neutralizing monoclonal,cm512; tralokinumab-ldrm,il13bispecific_tslp_antibody; il13cytokineneutralizingmonoclonal_antibody,Colorectal Cancer,
,IL1A,2,2,1.0,il-1 alpha; il-1α neutralizing monoclonal,bermekimab; xb2001,il1alpha_inhibitor; il1neutralizingmonoclonal_antibody,Colorectal Cancer; Pancreatic Cancer,
,IL1B,2,2,1.0,il-1 beta; il-1β,canakinumab; gevokizumab,il1_inhibitor; il1beta_inhibitor,Lung Cancers; Hematological Malignancies; Kidney (Renal) and Urethral Cancers; Colorectal Cancer; Esophageal Cancer,
,IL4,2,2,1.0,il-4,dupilumab; qbx258,il13signaling_il4_blocker; il4_antagonist,Hematological Malignancies; Breast Cancer; Lung Cancers; Colorectal Cancer; Anal Cancer,
,IL4RA,2,2,1.0,il-4rα,cm310; sim0718,il4r_antagonist; il4r_inhibitor,Hematological Malignancies; Colorectal Cancer,
,LAIR1,2,2,1.0,lair-1; lair1 antagonist,nc410; ngm438,collageninteraction_lair1_blocker; lair1antagonist_antibody,Gynecological Cancers; Pancreatic Cancer; Gastric (Stomach) Cancer; Lung Cancers; Head and Neck Cancers,
,LIF,2,2,1.0,leukemia inhibitory factor; lif,azd0171; msc-1,leukemiainhibitoryfactor_antibody; lif_antagonist,Solid tumors; Lung Cancers; Pancreatic Cancer; Gynecological Cancers,
,LILRB1,2,2,1.0,ilt2; lilrb1,agen1571; lb-lr1109,hlag_lilrb1_inhibitor; ilt2_antagonist,Lung Cancers; Head and Neck Cancers; Kidney (Renal) and Urethral Cancers; Bladder Cancer; Skin Cancers,
,LY6G6D,2,2,1.0,ly6g6d,blyg8824a; cbi-1214,cd3_ly6g6d_targeted; ly6g6d_tcellengager_targeted,Colorectal Cancer,
,MMP2,2,2,1.0,mmp-2,chlorotoxin-cd28-cd3zeta-cd19t-expressing car t-lymphocytes; chm-1101 car-t cells,cltxtargetedcartcells_mmp2_binder; mmp2_targeted,Brain and Other Nervous System,
,MMP9,2,2,1.0,mmp-9,andecaliximab; pck3145,mmp9_monoclonal_antibody; mmp9_pthrp_inhibitor,Gastric (Stomach) Cancer; Esophageal Cancer; Pancreatic Cancer; Lung Cancers; Colorectal Cancer,
,MUC5AC,2,2,1.0,muc5ac for cancer imaging; muc5ac variant,nmk89; npc-1c,muc5acforcancerimaging_targeted; muc5acvariant_antibody,Pancreatic Cancer; Colorectal Cancer,
,OPRK1,2,2,1.0,kappa opioid agonist; kappa-opioid,butorphanol; dezocine,kappaopioid_agonist; kappaopioidagonist_mu_antagonist,Head and Neck Cancers; Liver and Bile Duct Cancers,
,PARP7,2,2,1.0,parp7; parp7 poly[adp-ribose] polymerase,atamparib; by101921,parp7_inhibitor; parp7polyadpribosepolymerase_inhibitor,Solid tumors,
,PIK3CG,2,2,0.9,pi3k-gamma; pi3kγ,br101801; eganelisib,dnapktriple_pi3k_inhibitor; pi3kgamma_inhibitor,Hematological Malignancies,
,PIKFYVE,2,2,1.0,pikfyve,esk981; lam-002a,fgfr1_pikfyve_tie2_vegfr13_inhibitor; pikfyve_inhibitor,Hematological Malignancies,
,PKM,2,2,0.95,pkm2; pyruvate m2 activity,pkm2 modulators; tp-1454,pkm2_activator; pyruvatem2activity_modulator,Solid tumors; Anal Cancer,
